id,friendly name,link
6088,AQ AQ,https://www.asos.com/women/a-to-z-of-brands/aq-aq/cat/?cid=6088
11045,Aris Geldis,https://www.asos.com/women/a-to-z-of-brands/aris-geldis/cat/?cid=11045
7552,Armani Exchange,https://www.asos.com/women/a-to-z-of-brands/armani-exchange/cat/?cid=7552
19142,Aristoc,https://www.asos.com/women/a-to-z-of-brands/aristoc/cat/?cid=19142
12582,Armor.Lux,https://www.asos.com/women/a-to-z-of-brands/armorlux/cat/?cid=12582
21646,Pia Rossini,https://www.asos.com/women/a-to-z-of-brands/pia-rossini/cat/?cid=21646
21655,Adelyn Rae,https://www.asos.com/women/a-to-z-of-brands/adelyn-rae/cat/?cid=21655
21658,Family Affair,https://www.asos.com/women/a-to-z-of-brands/family-affair/cat/?cid=21658
21643,So London,https://www.asos.com/women/a-to-z-of-brands/so-london/cat/?cid=21643
21673,Raga,https://www.asos.com/women/a-to-z-of-brands/raga/cat/?cid=21673
21663,Isla,https://www.asos.com/women/a-to-z-of-brands/isla/cat/?cid=21663
21680,Walter Baker,https://www.asos.com/women/a-to-z-of-brands/walter-baker/cat/?cid=21680
21683,Madam Rage,https://www.asos.com/women/a-to-z-of-brands/madam-rage/cat/?cid=21683
21691,Moon River,https://www.asos.com/women/a-to-z-of-brands/moon-river/cat/?cid=21691
21697,Boys and Arrows,https://www.asos.com/women/a-to-z-of-brands/boys-and-arrows/cat/?cid=21697
21314,Luv AJ,https://www.asos.com/women/a-to-z-of-brands/luv-aj/cat/?cid=21314
21316,Vintage Styler,https://www.asos.com/women/a-to-z-of-brands/vintage-styler/cat/?cid=21316
21329,Flynn Skye,https://www.asos.com/women/a-to-z-of-brands/flynn-skye/cat/?cid=21329
21331,Lomography,https://www.asos.com/women/a-to-z-of-brands/lomography/cat/?cid=21331
21337,Sundry,https://www.asos.com/women/a-to-z-of-brands/sundry/cat/?cid=21337
21330,From St Xavier,https://www.asos.com/women/a-to-z-of-brands/from-st-xavier/cat/?cid=21330
21350,JumpFromPaper,https://www.asos.com/women/a-to-z-of-brands/jumpfrompaper/cat/?cid=21350
21351,Daisy London,https://www.asos.com/women/a-to-z-of-brands/daisy-london/cat/?cid=21351
21374,Lost Property of London,https://www.asos.com/women/a-to-z-of-brands/lost-property-of-london/cat/?cid=21374
21368,Hope & Ivy,https://www.asos.com/women/a-to-z-of-brands/hope-and-ivy/cat/?cid=21368
21376,Hindsight Vintage,https://www.asos.com/women/a-to-z-of-brands/hindsight-vintage/cat/?cid=21376
21371,Fishbelly,https://www.asos.com/women/a-to-z-of-brands/fishbelly/cat/?cid=21371
21378,Tommy Hilfiger,https://www.asos.com/women/a-to-z-of-brands/tommy-hilfiger/cat/?cid=21378
21383,Minna Parikka,https://www.asos.com/women/a-to-z-of-brands/minna-parikka/cat/?cid=21383
26140,Wasted Paris,https://www.asos.com/women/a-to-z-of-brands/wasted-paris/cat/?cid=26140
26154,Abbott Lyon,https://www.asos.com/women/a-to-z-of-brands/abbott-lyon/cat/?cid=26154
25593,J.O.A,https://www.asos.com/women/a-to-z-of-brands/joa/cat/?cid=25593
25581,Knickerbox,https://www.asos.com/women/a-to-z-of-brands/knickerbox/cat/?cid=25581
25598,Goosecraft,https://www.asos.com/women/a-to-z-of-brands/goosecraft/cat/?cid=25598
25608,Majorelle,https://www.asos.com/women/a-to-z-of-brands/majorelle/cat/?cid=25608
25617,The Giving Keys,https://www.asos.com/women/a-to-z-of-brands/the-giving-keys/cat/?cid=25617
25614,Boux Avenue,https://www.asos.com/women/a-to-z-of-brands/boux-avenue/cat/?cid=25614
25640,Oh K!,https://www.asos.com/women/a-to-z-of-brands/oh-k/cat/?cid=25640
25623,Embryolisse,https://www.asos.com/women/a-to-z-of-brands/embryolisse/cat/?cid=25623
25662,Newlily,https://www.asos.com/women/a-to-z-of-brands/newlily/cat/?cid=25662
25626,EX1,https://www.asos.com/women/a-to-z-of-brands/ex1/cat/?cid=25626
25620,Raid,https://www.asos.com/women/a-to-z-of-brands/raid/cat/?cid=25620
25665,Lazy Days,https://www.asos.com/women/a-to-z-of-brands/lazy-days/cat/?cid=25665
25655,ASOS MADE IN KENYA,https://www.asos.com/women/a-to-z-of-brands/asos-made-in/cat/?cid=25655
25668,Lime Crime,https://www.asos.com/women/a-to-z-of-brands/lime-crime/cat/?cid=25668
25699,LYDC,https://www.asos.com/women/a-to-z-of-brands/lydc/cat/?cid=25699
25719,Carrie Elizabeth,https://www.asos.com/women/a-to-z-of-brands/carrie-elizabeth/cat/?cid=25719
15954,Claudette,https://www.asos.com/women/a-to-z-of-brands/claudette/cat/?cid=15954
25703,Starry Eyed,https://www.asos.com/women/a-to-z-of-brands/starry-eyed/cat/?cid=25703
18959,Classics 77,https://www.asos.com/women/a-to-z-of-brands/classics-77/cat/?cid=18959
11465,Clarks Originals,https://www.asos.com/women/a-to-z-of-brands/clarks-originals/cat/?cid=11465
20351,Coach,https://www.asos.com/women/a-to-z-of-brands/coach/cat/?cid=20351
15913,Cleobella,https://www.asos.com/women/a-to-z-of-brands/cleobella/cat/?cid=15913
16948,Closet,https://www.asos.com/women/a-to-z-of-brands/closet/cat/?cid=16948
19027,Clover Canyon,https://www.asos.com/women/a-to-z-of-brands/clover-canyon/cat/?cid=19027
26235,K-Swiss,https://www.asos.com/women/a-to-z-of-brands/k-swiss/cat/?cid=26235
26255,Ameliorate,https://www.asos.com/women/a-to-z-of-brands/ameliorate/cat/?cid=26255
26256,Anatomicals,https://www.asos.com/women/a-to-z-of-brands/anatomicals/cat/?cid=26256
26257,Anmol,https://www.asos.com/women/a-to-z-of-brands/anmol/cat/?cid=26257
26258,Antipodes,https://www.asos.com/women/a-to-z-of-brands/antipodes/cat/?cid=26258
26303,Studio Note,https://www.asos.com/women/a-to-z-of-brands/studio-note/cat/?cid=26303
26308,The Leather Satchel Company,https://www.asos.com/women/a-to-z-of-brands/the-leather-satchel-company/cat/?cid=26308
26310,Elemis,https://www.asos.com/women/a-to-z-of-brands/elemis/cat/?cid=26310
26311,EOS,https://www.asos.com/women/a-to-z-of-brands/eos/cat/?cid=26311
26313,Eylure,https://www.asos.com/women/a-to-z-of-brands/eylure/cat/?cid=26313
26312,Eyeko,https://www.asos.com/women/a-to-z-of-brands/eyeko/cat/?cid=26312
26314,Fashionology,https://www.asos.com/women/a-to-z-of-brands/fashionology/cat/?cid=26314
26315,Foreo,https://www.asos.com/women/a-to-z-of-brands/foreo/cat/?cid=26315
26317,Greylin,https://www.asos.com/women/a-to-z-of-brands/greylin/cat/?cid=26317
26316,ghd,https://www.asos.com/women/a-to-z-of-brands/ghd/cat/?cid=26316
26363,Rock & Religion,https://www.asos.com/women/a-to-z-of-brands/rock-religion/cat/?cid=26363
26319,The Weeknd,https://www.asos.com/women/a-to-z-of-brands/the-weeknd/cat/?cid=26319
26318,Harlyn,https://www.asos.com/women/a-to-z-of-brands/harlyn/cat/?cid=26318
26364,Dickies,https://www.asos.com/women/a-to-z-of-brands/dickies/cat/?cid=26364
26320,Hazel,https://www.asos.com/women/a-to-z-of-brands/hazel/cat/?cid=26320
26306,Jaeger,https://www.asos.com/women/a-to-z-of-brands/jaeger/cat/?cid=26306
26334,Krystal London,https://www.asos.com/women/a-to-z-of-brands/krystal-london/cat/?cid=26334
26335,L'Oreal,https://www.asos.com/women/a-to-z-of-brands/loreal/cat/?cid=26335
26366,Diadora,https://www.asos.com/women/a-to-z-of-brands/diadora/cat/?cid=26366
26390,Outstanding Ordinary,https://www.asos.com/women/a-to-z-of-brands/outstanding-ordinary/cat/?cid=26390
26397,Hunkemoller,https://www.asos.com/women/a-to-z-of-brands/hunkemoller/cat/?cid=26397
14785,Burberry,https://www.asos.com/women/a-to-z-of-brands/burberry/cat/?cid=14785
14031,Burlington,https://www.asos.com/women/a-to-z-of-brands/burlington/cat/?cid=14031
16179,All Knitwear,https://www.asos.com/women/a-to-z-of-brands/all-knitwear/cat/?cid=16179
5906,adidas,https://www.asos.com/women/a-to-z-of-brands/adidas/cat/?cid=5906
29885,adidas Originals Stan Smith,https://www.asos.com/women/a-to-z-of-brands/adidas/adidas-originals-stan-smith/cat/?cid=29885
